tipotiempo,tiempo,instancia,interacion
_ampl_elapsed_time,38.37339,AMPL1,0
_ampl_system_time,1.775272,AMPL1,0
_ampl_user_time,32.356535,AMPL1,0
_ampl_time,34.131823,AMPL1,0
_solve_elapsed_time,13.868302,AMPL1,0
_solve_system_time,1.419461,AMPL1,0
_solve_user_time,10.563217,AMPL1,0
_solve_time,11.982678,AMPL1,0
_total_solve_elapsed_time,13.868302,AMPL1,0
_total_solve_system_time,1.419461,AMPL1,0
_total_solve_user_time,10.563217,AMPL1,0
_total_solve_time,11.982678,AMPL1,0
_ampl_elapsed_time,79.583236,AMPL1,1
_ampl_system_time,3.120683,AMPL1,1
_ampl_user_time,69.818657,AMPL1,1
_ampl_time,72.93934,AMPL1,1
_solve_elapsed_time,29.486471,AMPL1,1
_solve_system_time,2.081809,AMPL1,1
_solve_user_time,31.364174,AMPL1,1
_solve_time,33.445983,AMPL1,1
_total_solve_elapsed_time,43.354773,AMPL1,1
_total_solve_system_time,3.50127,AMPL1,1
_total_solve_user_time,41.927391,AMPL1,1
_total_solve_time,45.428661,AMPL1,1
_ampl_elapsed_time,129.332294,AMPL1,2
_ampl_system_time,4.326416,AMPL1,2
_ampl_user_time,113.152155,AMPL1,2
_ampl_time,117.478589,AMPL1,2
_solve_elapsed_time,28.464073,AMPL1,2
_solve_system_time,2.007118,AMPL1,2
_solve_user_time,30.851051,AMPL1,2
_solve_time,32.858169,AMPL1,2
_total_solve_elapsed_time,71.818846,AMPL1,2
_total_solve_system_time,5.508388,AMPL1,2
_total_solve_user_time,72.778442,AMPL1,2
_total_solve_time,78.28683,AMPL1,2
_ampl_elapsed_time,183.400971,AMPL1,3
_ampl_system_time,5.512224,AMPL1,3
_ampl_user_time,160.528851,AMPL1,3
_ampl_time,166.041092,AMPL1,3
_solve_elapsed_time,27.703704,AMPL1,3
_solve_system_time,2.103215,AMPL1,3
_solve_user_time,29.636678,AMPL1,3
_solve_time,31.739893,AMPL1,3
_total_solve_elapsed_time,99.52255,AMPL1,3
_total_solve_system_time,7.611603,AMPL1,3
_total_solve_user_time,102.41512,AMPL1,3
_total_solve_time,110.026723,AMPL1,3
_ampl_elapsed_time,243.067395,AMPL1,4
_ampl_system_time,6.797855,AMPL1,4
_ampl_user_time,212.603563,AMPL1,4
_ampl_time,219.401432,AMPL1,4
_solve_elapsed_time,28.84951,AMPL1,4
_solve_system_time,2.051104,AMPL1,4
_solve_user_time,32.233737,AMPL1,4
_solve_time,34.284841,AMPL1,4
_total_solve_elapsed_time,128.37206,AMPL1,4
_total_solve_system_time,9.662707,AMPL1,4
_total_solve_user_time,134.648857,AMPL1,4
_total_solve_time,144.311564,AMPL1,4
_ampl_elapsed_time,307.267919,AMPL1,5
_ampl_system_time,7.993668,AMPL1,5
_ampl_user_time,267.150586,AMPL1,5
_ampl_time,275.144269,AMPL1,5
_solve_elapsed_time,28.131671,AMPL1,5
_solve_system_time,1.966017,AMPL1,5
_solve_user_time,36.363985,AMPL1,5
_solve_time,38.330002,AMPL1,5
_total_solve_elapsed_time,156.503731,AMPL1,5
_total_solve_system_time,11.628724,AMPL1,5
_total_solve_user_time,171.012842,AMPL1,5
_total_solve_time,182.641566,AMPL1,5
_ampl_elapsed_time,370.706838,AMPL1,6
_ampl_system_time,9.151467,AMPL1,6
_ampl_user_time,323.06652,AMPL1,6
_ampl_time,332.218004,AMPL1,6
_solve_elapsed_time,29.997146,AMPL1,6
_solve_system_time,2.009207,AMPL1,6
_solve_user_time,35.266186,AMPL1,6
_solve_time,37.275393,AMPL1,6
_total_solve_elapsed_time,186.500877,AMPL1,6
_total_solve_system_time,13.637931,AMPL1,6
_total_solve_user_time,206.279028,AMPL1,6
_total_solve_time,219.916959,AMPL1,6
_ampl_elapsed_time,437.166538,AMPL1,7
_ampl_system_time,10.480006,AMPL1,7
_ampl_user_time,379.824346,AMPL1,7
_ampl_time,390.304352,AMPL1,7
_solve_elapsed_time,29.90987,AMPL1,7
_solve_system_time,2.114131,AMPL1,7
_solve_user_time,33.941602,AMPL1,7
_solve_time,36.055733,AMPL1,7
_total_solve_elapsed_time,216.410747,AMPL1,7
_total_solve_system_time,15.752062,AMPL1,7
_total_solve_user_time,240.22063,AMPL1,7
_total_solve_time,255.972692,AMPL1,7
_ampl_elapsed_time,504.089261,AMPL1,8
_ampl_system_time,11.737715,AMPL1,8
_ampl_user_time,438.441157,AMPL1,8
_ampl_time,450.17889,AMPL1,8
_solve_elapsed_time,28.912891,AMPL1,8
_solve_system_time,2.01253,AMPL1,8
_solve_user_time,33.00652,AMPL1,8
_solve_time,35.01905,AMPL1,8
_total_solve_elapsed_time,245.323638,AMPL1,8
_total_solve_system_time,17.764592,AMPL1,8
_total_solve_user_time,273.22715,AMPL1,8
