costo,qos,instancia,metodo,interacion
0.129755776,7380.24552,AMPL1,CPLEX,0
0.14831,7327.02141,AMPL1,CPLEX,0
0.14979548,7174.631113,AMPL1,CPLEX,0
0.15241,7045.436143,AMPL1,CPLEX,0
0.155685,7036.265963,AMPL1,CPLEX,0
0.159725,6964.228293,AMPL1,CPLEX,0
0.180005776,6890.04326,AMPL1,CPLEX,0
0.180030776,6863.17091,AMPL1,CPLEX,0
0.180030776,6855.34868,AMPL1,CPLEX,0
0.180055776,6828.47633,AMPL1,CPLEX,0
0.180255776,6653.24157,AMPL1,CPLEX,0
0.180280776,6618.54699,AMPL1,CPLEX,0
0.180505776,6494.43133,AMPL1,CPLEX,0
0.180755776,6410.40503,AMPL1,CPLEX,0
0.181005776,6339.81087,AMPL1,CPLEX,0
0.185105776,6304.530683,AMPL1,CPLEX,0
0.19621,6294.23632,AMPL1,CPLEX,0
0.196435,6243.08559,AMPL1,CPLEX,0
0.19971,6233.91541,AMPL1,CPLEX,0
0.20031,6189.980983,AMPL1,CPLEX,0
0.203585,6180.810803,AMPL1,CPLEX,0
0.20375,6161.87774,AMPL1,CPLEX,0
0.207625,6117.685343,AMPL1,CPLEX,0
0.207625,6108.773133,AMPL1,CPLEX,0
0.213565,6091.639243,AMPL1,CPLEX,0
0.21502548,6079.190044,AMPL1,CPLEX,0
0.217615,5987.644074,AMPL1,CPLEX,0
0.21764,5949.995074,AMPL1,CPLEX,0
0.220915,5940.824894,AMPL1,CPLEX,0
0.22493,5906.436224,AMPL1,CPLEX,0
0.224955,5868.787224,AMPL1,CPLEX,0
0.231505776,5839.98345,AMPL1,CPLEX,0
0.23279332,5808.0518,AMPL1,CPLEX,0
0.23281832,5761.44739,AMPL1,CPLEX,0
0.23281832,5739.04555,AMPL1,CPLEX,0
0.23304332,5710.29666,AMPL1,CPLEX,0
0.23304332,5687.89482,AMPL1,CPLEX,0
0.23306832,5607.85679,AMPL1,CPLEX,0
0.23329332,5556.70606,AMPL1,CPLEX,0
0.24510048,5453.234043,AMPL1,CPLEX,0
0.24510048,5420.412043,AMPL1,CPLEX,0
0.25835548,5354.892303,AMPL1,CPLEX,0
0.25835548,5322.070303,AMPL1,CPLEX,0
0.26220548,5320.376134,AMPL1,CPLEX,0
0.26240548,5218.075134,AMPL1,CPLEX,0
0.26243048,5180.426134,AMPL1,CPLEX,0
0.276896256,5155.473693,AMPL1,CPLEX,0
0.27976548,5149.851985,AMPL1,CPLEX,0
0.27993548,5138.940795,AMPL1,CPLEX,0
0.27996048,5101.291795,AMPL1,CPLEX,0
0.27998548,5063.642795,AMPL1,CPLEX,0
0.29397332,5049.4834,AMPL1,CPLEX,0
0.29416332,5029.09824,AMPL1,CPLEX,0
0.29422332,4978.88924,AMPL1,CPLEX,0
0.29804832,4961.392781,AMPL1,CPLEX,0
0.29802332,4945.488231,AMPL1,CPLEX,0
0.29820332,4909.687371,AMPL1,CPLEX,0
0.29827332,4874.894071,AMPL1,CPLEX,0
0.30625548,4860.419643,AMPL1,CPLEX,0
0.30988048,4836.766074,AMPL1,CPLEX,0
0.31008048,4820.477194,AMPL1,CPLEX,0
0.31023548,4791.217774,AMPL1,CPLEX,0
0.31030548,4756.424474,AMPL1,CPLEX,0
0.32307548,4733.575734,AMPL1,CPLEX,0
0.32684548,4723.954095,AMPL1,CPLEX,0
0.32709048,4681.548495,AMPL1,CPLEX,0
0.32711548,4643.899495,AMPL1,CPLEX,0
0.32786048,4639.641135,AMPL1,CPLEX,0
0.342101256,4624.750224,AMPL1,CPLEX,0
0.34565332,4610.682711,AMPL1,CPLEX,0
0.34572332,4575.889411,AMPL1,CPLEX,0
0.353305776,4541.20902,AMPL1,CPLEX,0
0.35370548,4516.759583,AMPL1,CPLEX,0
0.357105776,4507.808011,AMPL1,CPLEX,0
0.357285776,4472.007151,AMPL1,CPLEX,0
0.357345776,4451.532781,AMPL1,CPLEX,0
0.357355776,4437.213851,AMPL1,CPLEX,0
0.35775548,4412.764414,AMPL1,CPLEX,0
0.361325776,4382.330912,AMPL1,CPLEX,0
0.361395776,4347.537612,AMPL1,CPLEX,0
0.36295832,4338.367432,AMPL1,CPLEX,0
0.365435776,4336.385872,AMPL1,CPLEX,0
0.365495776,4312.257425,AMPL1,CPLEX,0
0.369535776,4301.105685,AMPL1,CPLEX,0
0.37472048,4299.952435,AMPL1,CPLEX,0
0.37476548,4283.950555,AMPL1,CPLEX,0
0.37492048,4254.691135,AMPL1,CPLEX,0
0.37499048,4219.897835,AMPL1,CPLEX,0
0.390679096,4213.952101,AMPL1,CPLEX,0
0.390689096,4199.633171,AMPL1,CPLEX,0
0.390869096,4163.832311,AMPL1,CPLEX,0
0.390929096,4143.357941,AMPL1,CPLEX,0
0.390939096,4129.039011,AMPL1,CPLEX,0
0.394729096,4123.389072,AMPL1,CPLEX,0
0.394729096,4109.956932,AMPL1,CPLEX,0
0.394909096,4074.156072,AMPL1,CPLEX,0
0.394979096,4039.362772,AMPL1,CPLEX,0
0.402746256,4029.966734,AMPL1,CPLEX,0
0.402901256,4000.707314,AMPL1,CPLEX,0
0.402961256,3980.232944,AMPL1,CPLEX,0
0.402971256,3965.914014,AMPL1,CPLEX,0
0.406741256,3956.292375,AMPL1,CPLEX,0
0.406786256,3940.290495,AMPL1,CPLEX,0
0.406941256,3911.031075,AMPL1,CPLEX,0
0.407011256,3876.237775,AMPL1,CPLEX,0
0.450196256,3866.332554,AMPL1,CPLEX,0
0.453941256,3856.815875,AMPL1,CPLEX,0
0.454011256,3840.709035,AMPL1,CPLEX,0
0.454011256,3838.950765,AMPL1,CPLEX,0
0.454166256,3811.449615,AMPL1,CPLEX,0
0.454166256,3807.025145,AMPL1,CPLEX,0
0.454236256,3776.656315,AMPL1,CPLEX,0
0.463254524,3747.448335,AMPL1,CPLEX,0
0.463324524,3712.655035,AMPL1,CPLEX,0
0.467296256,3694.576375,AMPL1,CPLEX,0
0.510254524,3693.233135,AMPL1,CPLEX,0
0.510324524,3677.126295,AMPL1,CPLEX,0
0.510324524,3675.368025,AMPL1,CPLEX,0
0.510479524,3643.442405,AMPL1,CPLEX,0
0.510549524,3613.073575,AMPL1,CPLEX,0
0.514521256,3594.994915,AMPL1,CPLEX,0
0.522589174,3591.021645,AMPL1,CPLEX,0
0.526560906,3572.942985,AMPL1,CPLEX,0
0.527324524,3552.448145,AMPL1,CPLEX,0
0.531296256,3534.369485,AMPL1,CPLEX,0
0.561676256,3525.782285,AMPL1,CPLEX,0
0.569744174,3521.809015,AMPL1,CPLEX,0
0.569814174,3491.440185,AMPL1,CPLEX,0
0.573785906,3473.361525,AMPL1,CPLEX,0
0.574549524,3461.750955,AMPL1,CPLEX,0
0.574549524,3452.866685,AMPL1,CPLEX,0
0.578521256,3434.788025,AMPL1,CPLEX,0
0.586589174,3430.814755,AMPL1,CPLEX,0
0.590560906,3412.736095,AMPL1,CPLEX,0
0.608834524,3408.61276,AMPL1,CPLEX,0
0.612806256,3390.5341,AMPL1,CPLEX,0
0.625746256,3384.997295,AMPL1,CPLEX,0
0.633814174,3331.233295,AMPL1,CPLEX,0
0.637785906,3313.154635,AMPL1,CPLEX,0
0.656059524,3309.0313,AMPL1,CPLEX,0
0.660031256,3290.95264,AMPL1,CPLEX,0
0.668099174,3286.97937,AMPL1,CPLEX,0
0.672070906,3268.90071,AMPL1,CPLEX,0
0.685010906,3263.363905,AMPL1,CPLEX,0
0.702450906,3260.31351,AMPL1,CPLEX,0
0.703284524,3259.24057,AMPL1,CPLEX,0
0.707256256,3241.16191,AMPL1,CPLEX,0
0.715324174,3187.39791,AMPL1,CPLEX,0
0.719295906,3169.31925,AMPL1,CPLEX,0
0.762549174,3137.60718,AMPL1,CPLEX,0
0.766520906,3119.52852,AMPL1,CPLEX,0
0.812739174,3111.0114,AMPL1,CPLEX,0
0.812759174,3109.75164,AMPL1,CPLEX,0
0.813009174,3101.80824,AMPL1,CPLEX,0
0.816710906,3092.93274,AMPL1,CPLEX,0
0.816730906,3091.67298,AMPL1,CPLEX,0
0.816980906,3083.72958,AMPL1,CPLEX,0
0.866940906,3077.01912,AMPL1,CPLEX,0
0.866960906,3075.75936,AMPL1,CPLEX,0
0.867210906,3067.81596,AMPL1,CPLEX,0
0.876970906,3065.65092,AMPL1,CPLEX,0
0.877230906,3058.83873,AMPL1,CPLEX,0
0.926950906,3057.6807,AMPL1,CPLEX,0
0.927190906,3052.12827,AMPL1,CPLEX,0
0.927200906,3049.7373,AMPL1,CPLEX,0
0.927460906,3046.89681,AMPL1,CPLEX,0
0.927460906,3042.92511,AMPL1,CPLEX,0
0.98397661,3041.00505,AMPL1,CPLEX,0
0.98397661,3036.11292,AMPL1,CPLEX,0
0.98397661,3036.11292,AMPL1,CPLEX,0
0.98397661,3036.11292,AMPL1,CPLEX,0
0.98397661,3036.11292,AMPL1,CPLEX,0
0.98397661,3036.11292,AMPL1,CPLEX,0
