ruta;inicio;fin
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.455;2024-09-16 22:48:36.456
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.491;2024-09-16 22:48:36.493
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.514;2024-09-16 22:48:36.515
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.519;2024-09-16 22:48:36.521
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.529;2024-09-16 22:48:36.531
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.531;2024-09-16 22:48:36.532
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.549;2024-09-16 22:48:36.550
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.556;2024-09-16 22:48:36.557
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.563;2024-09-16 22:48:36.564
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.569;2024-09-16 22:48:36.571
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.590;2024-09-16 22:48:36.591
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.604;2024-09-16 22:48:36.605
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.761;2024-09-16 22:48:36.762
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.780;2024-09-16 22:48:36.781
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.801;2024-09-16 22:48:36.802
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.805;2024-09-16 22:48:36.806
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.811;2024-09-16 22:48:36.812
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.812;2024-09-16 22:48:36.813
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.826;2024-09-16 22:48:36.827
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.830;2024-09-16 22:48:36.831
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.836;2024-09-16 22:48:36.837
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.839;2024-09-16 22:48:36.840
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.844;2024-09-16 22:48:36.844
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyC/;2024-09-16 22:48:36.848;2024-09-16 22:48:36.848
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyQoS/;2024-09-16 22:48:36.958;2024-09-16 22:48:36.958
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/greedyQoS/;2024-09-16 22:48:36.961;2024-09-16 22:48:36.962
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/robin/;2024-09-16 22:48:36.967;2024-09-16 22:48:36.967
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL1/robin/;2024-09-16 22:48:36.967;2024-09-16 22:48:36.968
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.004;2024-09-16 22:48:37.005
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.038;2024-09-16 22:48:37.040
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.065;2024-09-16 22:48:37.067
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.074;2024-09-16 22:48:37.076
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.088;2024-09-16 22:48:37.090
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.090;2024-09-16 22:48:37.092
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.117;2024-09-16 22:48:37.119
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.128;2024-09-16 22:48:37.133
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.149;2024-09-16 22:48:37.150
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.158;2024-09-16 22:48:37.160
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.187;2024-09-16 22:48:37.188
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.213;2024-09-16 22:48:37.216
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.404;2024-09-16 22:48:37.406
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.447;2024-09-16 22:48:37.449
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.467;2024-09-16 22:48:37.469
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.473;2024-09-16 22:48:37.474
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.483;2024-09-16 22:48:37.484
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.484;2024-09-16 22:48:37.486
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.508;2024-09-16 22:48:37.510
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.516;2024-09-16 22:48:37.517
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.525;2024-09-16 22:48:37.526
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.532;2024-09-16 22:48:37.533
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.544;2024-09-16 22:48:37.544
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.553;2024-09-16 22:48:37.555
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.685;2024-09-16 22:48:37.686
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.709;2024-09-16 22:48:37.711
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.731;2024-09-16 22:48:37.733
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.737;2024-09-16 22:48:37.739
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.748;2024-09-16 22:48:37.750
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.750;2024-09-16 22:48:37.757
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.801;2024-09-16 22:48:37.802
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.818;2024-09-16 22:48:37.820
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.833;2024-09-16 22:48:37.835
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.841;2024-09-16 22:48:37.843
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.863;2024-09-16 22:48:37.879
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyC/;2024-09-16 22:48:37.901;2024-09-16 22:48:37.903
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyQoS/;2024-09-16 22:48:38.146;2024-09-16 22:48:38.147
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyQoS/;2024-09-16 22:48:38.147;2024-09-16 22:48:38.147
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/greedyQoS/;2024-09-16 22:48:38.147;2024-09-16 22:48:38.148
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/robin/;2024-09-16 22:48:38.156;2024-09-16 22:48:38.158
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL2/robin/;2024-09-16 22:48:38.158;2024-09-16 22:48:38.159
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.178;2024-09-16 22:48:38.179
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.219;2024-09-16 22:48:38.220
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.248;2024-09-16 22:48:38.249
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.254;2024-09-16 22:48:38.256
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.265;2024-09-16 22:48:38.266
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.266;2024-09-16 22:48:38.267
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.285;2024-09-16 22:48:38.287
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.292;2024-09-16 22:48:38.293
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.298;2024-09-16 22:48:38.299
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.309;2024-09-16 22:48:38.310
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.330;2024-09-16 22:48:38.332
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.348;2024-09-16 22:48:38.350
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.483;2024-09-16 22:48:38.484
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.518;2024-09-16 22:48:38.519
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.539;2024-09-16 22:48:38.541
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.546;2024-09-16 22:48:38.547
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.557;2024-09-16 22:48:38.558
/home/ggoni/Documentos/PROYE/solocodigo/proycodigo/salida/AMPL3/greedyC/;2024-09-16 22:48:38.558;2024-09-16 22:48:38.560
