timestampInicio,timestampFin,instancia,duracion_segundos
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:40,AMPL1,7.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:32,2018-03-15 12:41:40,AMPL1,8.0
2018-03-15 12:41:33,2018-03-15 12:41:39,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:32,2018-03-15 12:41:38,AMPL1,6.0
2018-03-15 12:41:37,2018-03-15 12:41:56,AMPL1,19.0
2018-03-15 12:41:37,2018-03-15 12:41:57,AMPL1,20.0
2018-03-15 12:41:37,2018-03-15 12:42:08,AMPL1,31.0
2018-03-15 12:41:37,2018-03-15 12:42:07,AMPL1,30.0
2018-03-15 12:41:35,2018-03-15 12:42:02,AMPL1,27.0
2018-03-15 12:41:37,2018-03-15 12:42:05,AMPL1,28.0
2018-03-15 12:41:37,2018-03-15 12:41:59,AMPL1,22.0
2018-03-15 12:41:37,2018-03-15 12:42:00,AMPL1,23.0
2018-03-15 12:41:35,2018-03-15 12:41:57,AMPL1,22.0
2018-03-15 12:41:37,2018-03-15 12:42:06,AMPL1,29.0
2018-03-15 12:41:33,2018-03-15 12:41:39,AMPL1,6.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:33,2018-03-15 12:41:37,AMPL1,4.0
2018-03-15 12:41:33,2018-03-15 12:41:38,AMPL1,5.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:46,AMPL1,10.0
2018-03-15 12:41:36,2018-03-15 12:41:48,AMPL1,12.0
2018-03-15 12:41:36,2018-03-15 12:41:46,AMPL1,10.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:43,AMPL1,7.0
2018-03-15 12:41:37,2018-03-15 12:41:43,AMPL1,6.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:35,2018-03-15 12:41:46,AMPL1,11.0
2018-03-15 12:41:35,2018-03-15 12:41:43,AMPL1,8.0
2018-03-15 12:41:35,2018-03-15 12:41:44,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:47,AMPL1,11.0
2018-03-15 12:41:36,2018-03-15 12:41:44,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:44,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:44,AMPL1,8.0
2018-03-15 12:41:36,2018-03-15 12:41:45,AMPL1,9.0
2018-03-15 12:41:36,2018-03-15 12:41:48,AMPL1,12.0
2018-03-15 12:41:36,2018-03-15 12:41:48,AMPL1,12.0
2018-03-15 12:41:36,2018-03-15 12:41:50,AMPL1,14.0
2018-03-15 12:41:36,2018-03-15 12:41:51,AMPL1,15.0
2018-03-15 12:41:36,2018-03-15 12:41:50,AMPL1,14.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:48,AMPL2,8.0
2018-03-15 12:44:38,2018-03-15 12:44:47,AMPL2,9.0
2018-03-15 12:44:38,2018-03-15 12:44:47,AMPL2,9.0
2018-03-15 12:44:39,2018-03-15 12:44:49,AMPL2,10.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:46,AMPL2,7.0
2018-03-15 12:44:38,2018-03-15 12:44:44,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:46,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:46,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:44,AMPL2,5.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:39,2018-03-15 12:44:45,AMPL2,6.0
2018-03-15 12:44:40,2018-03-15 12:44:53,AMPL2,13.0
2018-03-15 12:44:40,2018-03-15 12:44:52,AMPL2,12.0
2018-03-15 12:44:40,2018-03-15 12:44:52,AMPL2,12.0
2018-03-15 12:44:40,2018-03-15 12:44:53,AMPL2,13.0
2018-03-15 12:44:39,2018-03-15 12:44:51,AMPL2,12.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:39,2018-03-15 12:44:47,AMPL2,8.0
2018-03-15 12:44:40,2018-03-15 12:44:48,AMPL2,8.0
2018-03-15 12:44:40,2018-03-15 12:44:49,AMPL2,9.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:49,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:47,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:48,AMPL2,9.0
2018-03-15 12:44:40,2018-03-15 12:44:48,AMPL2,8.0
2018-03-15 12:44:40,2018-03-15 12:44:47,AMPL2,7.0
2018-03-15 12:44:39,2018-03-15 12:44:53,AMPL2,14.0
2018-03-15 12:44:39,2018-03-15 12:44:53,AMPL2,14.0
2018-03-15 12:44:39,2018-03-15 12:44:52,AMPL2,13.0
2018-03-15 12:44:39,2018-03-15 12:44:53,AMPL2,14.0
2018-03-15 12:44:39,2018-03-15 12:44:52,AMPL2,13.0
2018-03-15 12:44:41,2018-03-15 12:44:56,AMPL2,15.0
2018-03-15 12:44:41,2018-03-15 12:45:00,AMPL2,19.0
2018-03-15 12:44:41,2018-03-15 12:44:58,AMPL2,17.0
2018-03-15 12:44:41,2018-03-15 12:45:00,AMPL2,19.0
2018-03-15 12:44:41,2018-03-15 12:45:00,AMPL2,19.0
2018-03-15 12:44:43,2018-03-15 12:44:59,AMPL2,16.0
2018-03-15 12:44:43,2018-03-15 12:45:00,AMPL2,17.0
2018-03-15 12:44:43,2018-03-15 12:44:59,AMPL2,16.0
2018-03-15 12:44:43,2018-03-15 12:45:01,AMPL2,18.0
2018-03-15 12:44:43,2018-03-15 12:45:02,AMPL2,19.0
2018-03-15 12:44:43,2018-03-15 12:44:56,AMPL2,13.0
2018-03-15 12:44:43,2018-03-15 12:44:56,AMPL2,13.0
2018-03-15 12:44:43,2018-03-15 12:44:57,AMPL2,14.0
2018-03-15 12:44:43,2018-03-15 12:44:57,AMPL2,14.0
2018-03-15 12:44:43,2018-03-15 12:44:58,AMPL2,15.0
2018-03-15 12:51:55,2018-03-15 12:52:03,AMPL3,8.0
2018-03-15 12:51:53,2018-03-15 12:52:01,AMPL3,8.0
2018-03-15 12:51:54,2018-03-15 12:52:02,AMPL3,8.0
