instancia,heuristica,tiempoSegundos
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.002
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.002
AMPL1,greedyC/,0.002
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.002
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.001
AMPL1,greedyC/,0.0
AMPL1,greedyC/,0.0
AMPL1,greedyQoS/,0.0
AMPL1,greedyQoS/,0.001
AMPL1,robin/,0.0
AMPL1,robin/,0.001
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.005
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.003
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.0
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.007
AMPL2,greedyC/,0.001
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.002
AMPL2,greedyC/,0.016
AMPL2,greedyC/,0.002
AMPL2,greedyQoS/,0.001
AMPL2,greedyQoS/,0.0
AMPL2,greedyQoS/,0.001
AMPL2,robin/,0.002
AMPL2,robin/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.002
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.002
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.002
AMPL3,greedyC/,0.002
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.002
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.002
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
AMPL3,greedyC/,0.001
